Timestamp,Please state your gender,Age band you fall into?,Your highest education level?,Which of the following best describes your current work situation?,Which of these best describe the community you live in?,Marital Status,"how many children under the age of 18 live with you, in your household?","how many  people aged 18 and over live with you, in your household. please do not count yourself ( Add if necessary: including your partner)?",Who is responsible for day-to-day monetary decisions in your household?,Does your household have a budget?,Which of the following statements best describe your pattern for choosing a financial product/service,Which source of financial information influences you the most?,"Before I buy something, I carefully consider whether I can afford it",I tend to live for today and let tomorrow take care of itself,I find it more satisfying to spend money than to save it for the long term,I pay my bills on time,I am prepared to risk some of my own money when saving or making an investment,I keep a close personal watch on my financial affairs,I set a long term financial goals and strive to achieve them,Money is there to be spent,"In the last 12 months, did your income seem not to cover your living costs?","If yes, how did you manage to make ends meet?","In the past 12 months, have you been saving money in the following forms?","If you lost your main source of income, how long could you do without borrowing money?",Which bracket does your household income fall into?,"Which form of ""more than one"" source of income you have?","Considering all the sources of income, is your household income regular and reliable?",Your retirement is covered under which of the following?,What is your view about saving money?,Do you have any such habits?,"Suppose you put ₹10,000 into a <no fee> savings account with a guaranteed interest of 2% per year. You don't make any further payments into this account and you don't withdraw any money. How much would be in the account at the end of the first year, once the interest payment is made?"
2019/06/24 8:39:37 AM GMT+5:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019/06/24 9:01:07 AM GMT+5:30,Male,30-39,Post Graduation,In paid employment(Private/Corporate sector),A large city ( with over  1000 000 people),Married,1,3,Your partner,Don't know,I consider several products from different companies before making decision,General advice from friends/relatives/employers,2,2,2,2,4,3,4,2,No,,"Investing in financial products like stocks, shares, bonds, trusts, etc",Less than a month,"above ₹1,00,000 monthly",Rental income,Yes,Employee Provident Fund (EPF);Public Provident Fund (PPF),"For rainy day (fear of loss of job , health, earning member, theft or any act of God)",None of the above,"₹ 10,200.00"
2019/06/24 10:04:58 AM GMT+5:30,Male,30-39,Post Graduation,In paid employment(Private/Corporate sector),A large city ( with over  1000 000 people),Married,1,2,You,No,I consider several products from different companies before making decision,"Specialist magazines/publications like Forbes India, Business Today, etc.",1,5,5,1,1,2,2,4,No,,Building up balance of money in bank account,More than 6 months,"above ₹1,00,000 monthly",Not applicable,Yes,Employee Provident Fund (EPF),"For rainy day (fear of loss of job , health, earning member, theft or any act of God)",None of the above,"₹ 10,200.00"
2019/06/24 11:35:59 AM GMT+5:30,Female,20-29,Post Graduation,Looking for job,A large city ( with over  1000 000 people),Single,2,4,Another member of family or[family members],Yes,I consider several products from different companies before making decision,Product specific information found on the net,1,4,4,2,3,2,3,4,No,,Building up balance of money in bank account,Don't know,"₹50,000-₹1,00,000 monthly",Parental support,Yes,None,"For rainy day (fear of loss of job , health, earning member, theft or any act of God)",None of the above,"₹ 10,200.00"
2019/06/24 11:49:19 AM GMT+5:30,Female,20-29,Post Graduation,Student,A city ( 100 000 people to about 1 000 000 people),Single,0,4,You and another family member,No,I don't compare any products at all,General advice from friends/relatives/employers,1,5,3,1,4,1,4,5,No,Borrowing money from known contacts/resources,Building up balance of money in bank account,Less than 6 months,"₹10,000-₹50,000 monthly",Parental support,Prefer not to answer,None,"For rainy day (fear of loss of job , health, earning member, theft or any act of God)",None of the above,"₹ 10,200.00"
2019/06/24 12:07:23 PM GMT+5:30,Male,40-49,Ph.D/Post Doctorate,In paid employment(Government service),A large city ( with over  1000 000 people),Married,2,1,You,No,I don't compare any products at all,General advice from friends/relatives/employers,1,1,1,1,5,1,5,1,No,,Have not been actively saving,Less than a week,"above ₹1,00,000 monthly",Side business,Yes,Old Pension Scheme ( Pre 2004),Does not consider it important,Drinking,"₹ 10,200.00"
2019/06/24 12:23:19 PM GMT+5:30,Male,20-29,Ph.D/Post Doctorate,Student,A large city ( with over  1000 000 people),Single,0,4,Another member of family or[family members],Yes,I consider several products from different companies before making decision,General advice from friends/relatives/employers,1,4,4,1,2,2,2,2,No,Prefer not to say,Building up balance of money in bank account,More than 6 months,"₹10,000-₹50,000 monthly",Parental support,Yes,New National Pension Scheme (NPS),A responsibility for coming generations,None of the above,"₹ 10,200.00"
2019/06/24 12:42:39 PM GMT+5:30,Male,40-49,Post Graduation,In paid employment(Private/Corporate sector),A large city ( with over  1000 000 people),Married,2,2,You and your partner,Yes,I consider several products from different companies before making decision,Recommendations from independent financial advisor/broker,1,5,5,1,2,1,1,4,No,,"Investing in financial products like stocks, shares, bonds, trusts, etc",More than 6 months,"above ₹1,00,000 monthly",Rental income,Yes,Others,"For rainy day (fear of loss of job , health, earning member, theft or any act of God)",None of the above,"₹ 10,200.00"
2019/06/24 12:47:39 PM GMT+5:30,Male,30-39,Post Graduation,In paid employment(Government service),A large city ( with over  1000 000 people),Married,0,1,You and your partner,Yes,I consider several products from different companies before making decision,My own previous experience,1,1,5,1,1,1,1,1,No,,,,,,,,,,
2019/06/24 12:53:08 PM GMT+5:30,Male,20-29,Post Graduation,In paid employment(Private/Corporate sector),A large city ( with over  1000 000 people),Single,1,3,Another member of family or[family members],Yes,I consider several products from different companies before making decision,"Specialist magazines/publications like Forbes India, Business Today, etc.",1,5,5,1,3,1,1,4,Yes,Prefer not to say,Building up balance of money in bank account,Less than 3 months,"₹10,000-₹50,000 monthly",Not applicable,Yes,Employee Provident Fund (EPF),"For rainy day (fear of loss of job , health, earning member, theft or any act of God)",None of the above,"₹ 10,200.00"
2019/06/24 12:53:32 PM GMT+5:30,Female,30-39,Post Graduation,In paid employment(Private/Corporate sector),A large city ( with over  1000 000 people),Married,1,5,Another member of family or[family members],No,I consider several products from different companies before making decision,Product specific information found on the net,1,1,1,1,1,1,1,1,No,,"Investing in financial products like stocks, shares, bonds, trusts, etc",Don't know,"₹50,000-₹1,00,000 monthly",Working spouse,Yes,Public Provident Fund (PPF),"Source of privilege, luxury, power and prestige",None of the above,Don't know
2019/06/24 12:55:49 PM GMT+5:30,Male,20-29,Graduation,In paid employment(Private/Corporate sector),A large city ( with over  1000 000 people),Single,0,3,Another member of family or[family members],Yes,I consider several products from different companies before making decision,Information picked up at any bank branch,2,1,2,2,3,1,2,3,Don't know,Don't know,Saving cash at home,Less than a month,"above ₹1,00,000 monthly",Parental support,Yes,Old Pension Scheme ( Pre 2004),"Source of privilege, luxury, power and prestige",Drinking,"₹ 10,200.00"
2019/06/24 12:56:10 PM GMT+5:30,Male,30-39,Post Graduation,Self employed/Business,A city ( 100 000 people to about 1 000 000 people),Married,2,1,You and your partner,Yes,I don't compare any products at all,Financial pages of newspaper/magazines,1,4,3,1,1,5,4,2,Yes,Existing resources like FDs or selling something you own,Have not been actively saving,Less than 3 months,"₹10,000-₹50,000 monthly",Not applicable,Don't know,Others,A responsibility for coming generations,Drinking;Smoking;Gambling,"₹ 10,200.00"
2019/06/24 12:56:42 PM GMT+5:30,Female,30-39,Post Graduation,In paid employment(Private/Corporate sector),A large city ( with over  1000 000 people),Married,1,1,You and your partner,Yes,I consider several products from different companies before making decision,Product specific information found on the net,1,5,3,5,3,1,1,3,No,Prefer not to say,"Investing in financial products like stocks, shares, bonds, trusts, etc",More than 6 months,"above ₹1,00,000 monthly",Working spouse,Yes,New National Pension Scheme (NPS);Employee Provident Fund (EPF);Public Provident Fund (PPF);Others,A responsibility for coming generations,None of the above,"₹ 10,200.00"
2019/06/24 12:59:56 PM GMT+5:30,Male,20-29,Graduation,Self employed/Business,A city ( 100 000 people to about 1 000 000 people),Single,0,3,You and another family member,No,I consider several products from different companies before making decision,My own previous experience,2,4,3,1,2,2,2,3,No,Borrowing from exiting credit line like credit card/overdraft/cash-in advance,"Investing in financial products like stocks, shares, bonds, trusts, etc",More than 6 months,"above ₹1,00,000 monthly",Side business,Yes,Others,"Source of privilege, luxury, power and prestige",None of the above,"₹ 10,200.00"
2019/06/24 1:02:39 PM GMT+5:30,Female,30-39,Post Graduation,In paid employment(Private/Corporate sector),A large city ( with over  1000 000 people),Married,1,1,You and your partner,Yes,I consider several products from different companies before making decision,Product specific information found on the net,1,5,4,1,1,1,1,3,Yes,Existing resources like FDs or selling something you own,"Investing in financial products like stocks, shares, bonds, trusts, etc",More than 6 months,"₹10,000-₹50,000 monthly",Working spouse,Yes,New National Pension Scheme (NPS);Employee Provident Fund (EPF);Public Provident Fund (PPF);Others,"For rainy day (fear of loss of job , health, earning member, theft or any act of God)",None of the above,"₹ 10,200.00"
2019/06/24 1:06:52 PM GMT+5:30,Male,20-29,Graduation,Student,A large city ( with over  1000 000 people),Single,1,2,Another member of family or[family members],Yes,I consider several products from different companies before making decision,Product specific information found on the net,2,3,3,2,2,4,2,4,No,,Building up balance of money in bank account,More than 6 months,"above ₹1,00,000 monthly",Parental support,Yes,None,"Source of privilege, luxury, power and prestige",Drinking;Smoking,Don't know
2019/06/24 1:08:43 PM GMT+5:30,Male,20-29,Graduation,Looking for job,"A town ( 15,000 to about 100 000 people)",Single,2,5,You and another family member,No,I consider several products from different companies before making decision,TV/Radio advertisements,1,1,1,1,5,5,5,1,Not applicable,Borrowing money from known contacts/resources,Have not been actively saving,Less than a week,"₹50,000-₹1,00,000 monthly",Not applicable,Yes,None,A responsibility for coming generations,Smoking,"₹ 10,200.00"
2019/06/24 1:12:06 PM GMT+5:30,Male,20-29,Post Graduation,In paid employment(Private/Corporate sector),A large city ( with over  1000 000 people),Single,0,2,You,Yes,I consider several products from different companies before making decision,Product specific information found on the net,3,3,3,5,5,3,3,4,Don't know,Borrowing money from known contacts/resources,,Don't know,"₹10,000-₹50,000 monthly",Side business,Yes,Old Pension Scheme ( Pre 2004);New National Pension Scheme (NPS);Employee Provident Fund (EPF);Public Provident Fund (PPF);Others,A responsibility for coming generations,Smoking,"₹ 10,200.00"
2019/06/24 1:13:15 PM GMT+5:30,Male,20-29,Graduation,In paid employment(Private/Corporate sector),A large city ( with over  1000 000 people),Single,0,1,You and your partner,No,I consider several products from different companies before making decision,General advice from friends/relatives/employers,,,,,,,,,,,,,,,,,,,
2019/06/24 1:16:43 PM GMT+5:30,Male,20-29,Graduation,Self employed/Business,A large city ( with over  1000 000 people),Single,0,3,Another member of family or[family members],No,I consider several products from different companies before making decision,Recommendations from independent financial advisor/broker,1,3,3,1,1,2,3,3,Don't know,New line of credit like taking out personal loan/payday loan,Building up balance of money in bank account,More than 6 months,"above ₹1,00,000 monthly",Not applicable,No,None,"For rainy day (fear of loss of job , health, earning member, theft or any act of God)",Drinking,"₹ 10,200.00"
2019/06/24 1:19:59 PM GMT+5:30,Female,20-29,Graduation,Student,A city ( 100 000 people to about 1 000 000 people),Single,None,2,Another member of family or[family members],Yes,I consider several products from different companies before making decision,General advice from friends/relatives/employers,1,5,4,1,2,2,2,4,Not applicable,others,Saving cash at home,Don't know,"above ₹1,00,000 monthly",Parental support,Yes,None,A responsibility for coming generations,None of the above,"₹ 10,200.00"
2019/06/24 1:26:17 PM GMT+5:30,Male,20-29,Graduation,Student,A large city ( with over  1000 000 people),Single,0,3,Another member of family or[family members],Yes,I consider several products from different companies before making decision,Product specific information found on the net,2,4,4,2,2,2,2,4,Not applicable,,Building up balance of money in bank account,Prefer not to say,"above ₹1,00,000 monthly",Rental income,Yes,Employee Provident Fund (EPF);Public Provident Fund (PPF),"Source of privilege, luxury, power and prestige",None of the above,"₹ 10,200.00"
2019/06/24 1:29:12 PM GMT+5:30,Male,30-39,Graduation,In paid employment(Private/Corporate sector),A large city ( with over  1000 000 people),Married,Not now,1,You and your partner,Yes,I consider several products from different companies before making decision,Product specific information found on the net,1,4,1,1,2,1,3,1,Prefer not to say,Prefer not to say,Buying livestock/property,Prefer not to say,"above ₹1,00,000 monthly",Working spouse,Yes,Public Provident Fund (PPF),"Source of privilege, luxury, power and prestige",Smoking,"₹ 10,200.00"
2019/06/24 1:32:54 PM GMT+5:30,Male,20-29,Graduation,In paid employment(Private/Corporate sector),A large city ( with over  1000 000 people),Single,1,5,Another member of family or[family members],Yes,I consider several products from different companies before making decision,General advice from friends/relatives/employers,3,3,4,2,4,2,3,3,Don't know,Prefer not to say,Saving cash at home,Less than 6 months,"₹50,000-₹1,00,000 monthly",Parental support,Don't know,None,A responsibility for coming generations,None of the above,"₹ 10,200.00"
2019/06/24 1:38:22 PM GMT+5:30,Male,20-29,Graduation,Apprentice,A large city ( with over  1000 000 people),Single,0,,You and another family member,Yes,I consider several products from different companies before making decision,General advice from friends/relatives/employers,3,4,3,2,3,1,2,3,Prefer not to say,,Building up balance of money in bank account,Don't know,"₹10,000-₹50,000 monthly",,Yes,None,A responsibility for coming generations,Drinking,"₹ 10,200.00"
2019/06/24 1:42:30 PM GMT+5:30,Female,30-39,Post Graduation,Homemaker,A large city ( with over  1000 000 people),Married,1,1,You and your partner,Yes,I consider several products from different companies before making decision,Financial pages of newspaper/magazines,1,5,3,1,2,1,4,3,No,,"Investing in financial products like stocks, shares, bonds, trusts, etc",More than 6 months,"above ₹1,00,000 monthly",Not applicable,Yes,Public Provident Fund (PPF),"For rainy day (fear of loss of job , health, earning member, theft or any act of God)",None of the above,"₹ 10,200.00"
2019/06/24 1:43:01 PM GMT+5:30,Male,20-29,Graduation,In paid employment(Private/Corporate sector),A large city ( with over  1000 000 people),Single,None,2,Another member of family or[family members],Yes,I consider several products from different companies before making decision,General advice from friends/relatives/employers,1,2,5,3,1,2,2,1,Not applicable,Prefer not to say,"Investing in financial products like stocks, shares, bonds, trusts, etc",Don't know,"above ₹1,00,000 monthly",Not applicable,Prefer not to answer,None,"Source of privilege, luxury, power and prestige",Drinking;Smoking,"₹ 10,200.00"
2019/06/24 1:46:17 PM GMT+5:30,Male,20-29,Graduation,Looking for job,A large city ( with over  1000 000 people),Single,0,3,Another member of family or[family members],Yes,I consider several products from different companies before making decision,Product specific information found on the net,1,2,2,3,2,2,3,1,Not applicable,Don't know,Saving cash at home,Less than a week,"₹10,000-₹50,000 monthly",,,,,,
2019/06/24 1:50:38 PM GMT+5:30,Male,20-29,Graduation,Self employed/Business,A city ( 100 000 people to about 1 000 000 people),Single,1,1,Another member of family or[family members],,I consider several products from different companies before making decision,"Specialist magazines/publications like Forbes India, Business Today, etc.",3,3,3,3,2,2,2,2,No,Don't know,Saving cash at home,Less than a week,"₹10,000-₹50,000 monthly",Parental support,Yes,None,Does not consider it important,None of the above,Don't know
2019/06/24 1:51:06 PM GMT+5:30,Male,20-29,Graduation,In paid employment(Private/Corporate sector),A large city ( with over  1000 000 people),Single,0,2,Another member of family or[family members],Yes,I consider several products from different companies before making decision,Financial pages of newspaper/magazines,2,2,4,2,4,2,2,2,No,Don't know,Building up balance of money in bank account,Don't know,,Working spouse,,,,,
2019/06/24 1:53:57 PM GMT+5:30,Male,20-29,Graduation,Self employed/Business,A large city ( with over  1000 000 people),Single,None,8,You and another family member,No,I consider several products from different companies before making decision,Recommendations from independent financial advisor/broker,1,3,2,1,2,1,1,1,Not applicable,Prefer not to say,Saving cash at home,Don't know,"₹50,000-₹1,00,000 monthly",Parental support,Prefer not to answer,Public Provident Fund (PPF),"Source of privilege, luxury, power and prestige",Drinking;Smoking,"₹ 10,200.00"
